timestamp,value,measurement_type,axis,axis_label
2024-06-04 01:18:31+00:00,0.0058434191159904,acceleration,y,horizontal
2024-06-04 01:18:31+00:00,0.007882537320256233,acceleration,z,vertical
2024-06-04 01:28:31+00:00,0.006376198492944241,acceleration,x,axial
2024-06-04 01:28:31+00:00,0.00554423313587904,acceleration,y,horizontal
2024-06-04 01:28:31+00:00,0.008276593871414661,acceleration,z,vertical
2024-06-04 01:38:31+00:00,0.006409372668713331,acceleration,x,axial
2024-06-04 01:38:31+00:00,0.00844662357121706,acceleration,y,horizontal
2024-06-04 01:38:31+00:00,0.0079120472073555,acceleration,z,vertical
2024-06-04 01:48:31+00:00,0.006582661997526884,acceleration,x,axial
2024-06-04 01:48:31+00:00,0.008252833969891071,acceleration,y,horizontal
2024-06-04 01:48:31+00:00,0.00787734892219305,acceleration,z,vertical
2024-06-04 01:58:31+00:00,0.0064714024774730206,acceleration,x,axial
2024-06-04 01:58:31+00:00,0.008742482401430607,acceleration,y,horizontal
2024-06-04 01:58:31+00:00,0.008162670768797398,acceleration,z,vertical
2024-06-04 02:08:31+00:00,0.00652703084051609,acceleration,x,axial
2024-06-04 02:08:31+00:00,0.008455750532448292,acceleration,y,horizontal
2024-06-04 02:08:31+00:00,0.008576291613280773,acceleration,z,vertical
2024-06-04 02:18:31+00:00,0.0064489590004086494,acceleration,x,axial
2024-06-04 02:18:31+00:00,0.008421430364251137,acceleration,y,horizontal
2024-06-04 02:18:31+00:00,0.008236211724579334,acceleration,z,vertical
2024-06-04 02:28:31+00:00,0.006397223565727472,acceleration,x,axial
2024-06-04 02:28:31+00:00,0.008383956737816334,acceleration,y,horizontal
2024-06-04 02:28:31+00:00,0.008065612055361271,acceleration,z,vertical
2024-06-04 02:38:31+00:00,0.006316114217042923,acceleration,x,axial
2024-06-04 02:38:31+00:00,0.008443478494882584,acceleration,y,horizontal
2024-06-04 02:38:31+00:00,0.008325477130711079,acceleration,z,vertical
2024-06-04 02:48:31+00:00,0.006152404006570578,acceleration,x,axial
2024-06-04 02:48:31+00:00,0.008156158961355686,acceleration,y,horizontal
2024-06-04 02:48:31+00:00,0.008369932882487774,acceleration,z,vertical
2024-06-04 02:58:31+00:00,0.006336165592074394,acceleration,x,axial
2024-06-04 02:58:31+00:00,0.00833674892783165,acceleration,y,horizontal
2024-06-04 02:58:31+00:00,0.008084263652563095,acceleration,z,vertical
2024-06-04 03:08:31+00:00,0.00621618889272213,acceleration,x,axial
2024-06-04 03:08:31+00:00,0.008493117056787014,acceleration,y,horizontal
2024-06-04 03:08:31+00:00,0.008575646206736565,acceleration,z,vertical
2024-06-04 03:18:31+00:00,0.006244363728910685,acceleration,x,axial
2024-06-04 03:18:31+00:00,0.008116636425256729,acceleration,y,horizontal
2024-06-04 03:18:31+00:00,0.008041605353355408,acceleration,z,vertical
2024-06-04 03:28:31+00:00,0.006238122936338186,acceleration,x,axial
2024-06-04 03:28:31+00:00,0.00830923579633236,acceleration,y,horizontal
2024-06-04 03:28:31+00:00,0.008368723094463348,acceleration,z,vertical
2024-06-04 03:38:31+00:00,0.00644015334546566,acceleration,x,axial
2024-06-04 03:38:31+00:00,0.008611731231212616,acceleration,y,horizontal
2024-06-04 03:38:31+00:00,0.008362198248505592,acceleration,z,vertical
2024-06-04 03:48:31+00:00,0.0068451836705207825,acceleration,x,axial
2024-06-04 03:48:31+00:00,0.008693957701325417,acceleration,y,horizontal
2024-06-04 03:48:31+00:00,0.007860795594751835,acceleration,z,vertical
2024-06-04 03:58:31+00:00,0.006169009953737259,acceleration,x,axial
2024-06-04 03:58:31+00:00,0.008396992459893227,acceleration,y,horizontal
2024-06-04 03:58:31+00:00,0.008209730498492718,acceleration,z,vertical
2024-06-04 04:08:31+00:00,0.0065857539884746075,acceleration,x,axial
2024-06-04 04:08:31+00:00,0.00852709636092186,acceleration,y,horizontal
2024-06-04 04:08:31+00:00,0.007826758548617363,acceleration,z,vertical
2024-06-04 04:18:31+00:00,0.0065642837435007095,acceleration,x,axial
2024-06-04 04:18:31+00:00,0.008399885147809982,acceleration,y,horizontal
2024-06-04 04:18:31+00:00,0.008412948809564114,acceleration,z,vertical
2024-06-04 04:28:31+00:00,0.006431243382394314,acceleration,x,axial
2024-06-04 04:28:31+00:00,0.008567911572754383,acceleration,y,horizontal
2024-06-04 04:28:31+00:00,0.008220858871936798,acceleration,z,vertical
2024-06-04 04:38:31+00:00,0.006375063210725784,acceleration,x,axial
2024-06-04 04:38:31+00:00,0.008520208299160004,acceleration,y,horizontal
2024-06-04 04:38:31+00:00,0.008430837653577328,acceleration,z,vertical
2024-06-04 04:48:31+00:00,0.006173539906740189,acceleration,x,axial
2024-06-04 04:48:31+00:00,0.008520469069480896,acceleration,y,horizontal
2024-06-04 04:48:31+00:00,0.008361089043319225,acceleration,z,vertical
2024-06-04 04:58:31+00:00,0.006334464531391859,acceleration,x,axial
2024-06-04 04:58:31+00:00,0.008352083154022694,acceleration,y,horizontal
2024-06-04 04:58:31+00:00,0.008460039272904396,acceleration,z,vertical
2024-06-04 05:08:31+00:00,0.00658770278096199,acceleration,x,axial
2024-06-04 05:08:31+00:00,0.008529339917004108,acceleration,y,horizontal
2024-06-04 05:08:31+00:00,0.008539128117263317,acceleration,z,vertical
2024-06-04 05:18:31+00:00,0.006433884613215923,acceleration,x,axial
2024-06-04 05:18:31+00:00,0.00845103058964014,acceleration,y,horizontal
2024-06-04 05:18:31+00:00,0.00838475115597248,acceleration,z,vertical
2024-06-04 05:28:31+00:00,0.00665711797773838,acceleration,x,axial
2024-06-04 05:28:31+00:00,0.008493552915751934,acceleration,y,horizontal
2024-06-04 05:28:31+00:00,0.008293969556689262,acceleration,z,vertical
2024-06-04 05:38:31+00:00,0.0064635383896529675,acceleration,x,axial
2024-06-04 05:38:31+00:00,0.008565010502934456,acceleration,y,horizontal
2024-06-04 05:38:31+00:00,0.007930341176688671,acceleration,z,vertical
2024-06-04 05:48:31+00:00,0.006173324305564165,acceleration,x,axial
2024-06-04 05:48:31+00:00,0.008317390456795692,acceleration,y,horizontal
2024-06-04 05:48:31+00:00,0.008495455607771873,acceleration,z,vertical
2024-06-04 05:58:31+00:00,0.006400106009095907,acceleration,x,axial
2024-06-04 05:58:31+00:00,0.00802203081548214,acceleration,y,horizontal
2024-06-04 05:58:31+00:00,0.008211562409996986,acceleration,z,vertical
2024-06-04 06:08:31+00:00,0.006284425500780344,acceleration,x,axial
2024-06-04 06:08:31+00:00,0.008366231806576252,acceleration,y,horizontal
2024-06-04 06:08:31+00:00,0.008713613264262676,acceleration,z,vertical
2024-06-04 06:18:31+00:00,0.006538452580571175,acceleration,x,axial
2024-06-04 06:18:31+00:00,0.008506806567311287,acceleration,y,horizontal
2024-06-04 06:18:31+00:00,0.00800114031881094,acceleration,z,vertical
2024-06-04 06:28:31+00:00,0.006393090821802616,acceleration,x,axial
2024-06-04 06:28:31+00:00,0.008157984353601933,acceleration,y,horizontal
2024-06-04 06:28:31+00:00,0.008319409564137459,acceleration,z,vertical
2024-06-04 06:38:31+00:00,0.006343441549688578,acceleration,x,axial
2024-06-04 06:38:31+00:00,0.007897855713963509,acceleration,y,horizontal
2024-06-04 06:38:31+00:00,0.0079084113240242,acceleration,z,vertical
